Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,ID
A.C. Green,1986,2001,F-C,6’9,220,"October 4, 1963",Oregon State,"A.C. GreenOctober 4, 1963"
A.J. Bramlett,2000,2000,C,6’10,227,"January 10, 1977",Arizona,"A.J. BramlettJanuary 10, 1977"
A.J. English,1991,1992,G,6’3,175,July 11 1967,Virginia Union University,A.J. EnglishJuly 11 1967
A.J. Guyton,2001,2003,G,6’1,180,"February 12, 1978",Indiana,"A.J. GuytonFebruary 12, 1978"
A.J. Hammons,2017,2017,C,7-0,260,"August 27, 1992",Purdue,"A.J. HammonsAugust 27, 1992"
A.J. Price,2010,2015,G,6’2,181,"October 7, 1986",UConn,"A.J. PriceOctober 7, 1986"
A.J. Wynder,1991,1991,G,6’2,180,September 11 1964,UMass Fairfield,A.J. WynderSeptember 11 1964
A.W. Holt,1971,1971,F,6’7,210,"August 26, 1946",Jackson State University,"A.W. HoltAugust 26, 1946"
Aaron Brooks,2008,2018,G,6’0,161,"January 14, 1985",Oregon,"Aaron BrooksJanuary 14, 1985"
Aaron Gordon,2015,2022,F,6’8,235,September 16 1995,Arizona,Aaron GordonSeptember 16 1995
Aaron Gray,2008,2014,C,7-0,270,"December 7, 1984",Pitt,"Aaron GrayDecember 7, 1984"
Aaron Harrison,2016,2018,G,6’6,210,"October 28, 1994",Kentucky,"Aaron HarrisonOctober 28, 1994"
Aaron Henry,2022,2022,F,6’6,210,"August 30, 1999",Michigan State,"Aaron HenryAugust 30, 1999"
Aaron Holiday,2019,2022,G,6’0,185,September 30 1996,UCLA,Aaron HolidaySeptember 30 1996
Aaron Jackson,2018,2018,G,6’4,185,"May 6, 1986",Duquesne,"Aaron JacksonMay 6, 1986"
Aaron James,1975,1979,F,6’8,210,"October 5, 1952",Grambling State University,"Aaron JamesOctober 5, 1952"
Aaron McKie,1995,2007,G,6’5,209,"October 2, 1972",Temple,"Aaron McKieOctober 2, 1972"
Aaron Miles,2006,2006,G,6’1,175,"April 13, 1983",Kansas,"Aaron MilesApril 13, 1983"
Aaron Nesmith,2021,2022,G-F,6’5,215,"October 16, 1999",Vanderbilt,"Aaron NesmithOctober 16, 1999"
Aaron Swinson,1995,1995,F,6’5,230,"January 9, 1971",Auburn,"Aaron SwinsonJanuary 9, 1971"
Aaron Wiggins,2022,2022,G,6’6,200,"January 2, 1999",Maryland,"Aaron WigginsJanuary 2, 1999"
Aaron Williams,1994,2008,F-C,6’9,220,"October 2, 1971",Xavier,"Aaron WilliamsOctober 2, 1971"
Abdel Nader,2018,2022,F,6’5,225,"September 25, 1993",Northern Illinois Iowa State,"Abdel NaderSeptember 25, 1993"
Abdul Jeelani,1980,1981,F-C,6’8,210,"February 10, 1954",University of Wisconsin-Parkside,"Abdul JeelaniFebruary 10, 1954"
Acie Earl,1994,1997,F-C,6’10,240,June 23 1970,Iowa,Acie EarlJune 23 1970
Acie Law,2008,2011,G,6’3,195,"January 25, 1985",Texas A&M,"Acie LawJanuary 25, 1985"
Adam Harrington,2003,2003,G,6’5,200,July 5 1980,NC State Auburn,Adam HarringtonJuly 5 1980
Adam Keefe,1993,2001,F,6’9,230,"February 22, 1970",Stanford,"Adam KeefeFebruary 22, 1970"
Adam Mokoka,2020,2021,G,6’4,190,July 18 1998,,Adam MokokaJuly 18 1998
Adam Morrison,2007,2010,F,6’8,205,July 19 1984,Gonzaga,Adam MorrisonJuly 19 1984
Ade Murkey,2022,2022,G,6’5,200,"January 29, 1998",Denver,"Ade MurkeyJanuary 29, 1998"
Admiral Schofield,2020,2022,G-F,6’5,241,"March 30, 1997",Tennessee,"Admiral SchofieldMarch 30, 1997"
Adonis Jordan,1994,1999,G,5’11,170,"August 21, 1970",Kansas,"Adonis JordanAugust 21, 1970"
Adonis Thomas,2014,2014,F,6’7,200,"March 25, 1993",Memphis,"Adonis ThomasMarch 25, 1993"
Adreian Payne,2015,2018,F-C,6’10,237,"February 19, 1991",Michigan State,"Adreian PayneFebruary 19, 1991"
Adrian Branch,1987,1990,F-G,6’7,185,"November 17, 1963",Maryland,"Adrian BranchNovember 17, 1963"
Adrian Caldwell,1990,1998,F-C,6’8,265,July 4 1966,SMU Lamar,Adrian CaldwellJuly 4 1966
Adrian Dantley,1977,1991,F-G,6’5,208,"February 28, 1955",Notre Dame,"Adrian Dantley*February 28, 1955"
Adrian Griffin,2000,2008,G-F,6’5,217,July 4 1974,Seton Hall,Adrian GriffinJuly 4 1974
Adrian Smith,1962,1972,G,6’1,180,"October 5, 1936",Kentucky,"Adrian SmithOctober 5, 1936"
Ahmad Caver,2022,2022,G,6’2,175,September 12 1996,Old Dominion,Ahmad CaverSeptember 12 1996
Al Attles,1961,1971,G,6’0,175,"November 7, 1936",North Carolina A&T,"Al Attles*November 7, 1936"
Al Beard,1968,1968,C,6’9,200,"April 27, 1942",Norfolk State,"Al BeardApril 27, 1942"
Al Bianchi,1957,1966,G,6’3,185,"March 26, 1932",Bowling Green,"Al BianchiMarch 26, 1932"
Al Brightman,1947,1947,F,6’2,195,September 22 1923,University of Charleston,Al BrightmanSeptember 22 1923
Al Butler,1962,1965,G,6’2,175,July 9 1938,Niagara University,Al ButlerJuly 9 1938
Al Carlson,1976,1976,C,6’11,235,September 17 1951,Oregon,Al CarlsonSeptember 17 1951
Al Cervi,1950,1953,G-F,5’11,170,"February 12, 1917",,"Al Cervi*February 12, 1917"
Al Cueto,1970,1971,C-F,6’7,230,"August 2, 1946",Tulsa,"Al CuetoAugust 2, 1946"
Al Eberhard,1975,1978,F,6’6,225,"May 10, 1952",Missouri,"Al EberhardMay 10, 1952"
Al Guokas,1950,1950,F-G,6’5,200,"August 7, 1925",Saint Joseph's,"Al GuokasAugust 7, 1925"
Al Hairston,1969,1970,G,6’1,170,"December 11, 1945",Bowling Green,"Al HairstonDecember 11, 1945"
Al Harrington,1999,2014,F,6’9,230,"February 17, 1980",,"Al HarringtonFebruary 17, 1980"
Al Henry,1971,1972,C,6’9,190,"February 9, 1949",Wisconsin,"Al HenryFebruary 9, 1949"
Al Horford,2008,2022,C-F,6’9,240,June 3 1986,Florida,Al HorfordJune 3 1986
Al Jackson,1968,1968,G,6’1,185,July 29 1943,Wilberforce University,Al JacksonJuly 29 1943
Al Jefferson,2005,2018,C-F,6’10,289,"January 4, 1985",,"Al JeffersonJanuary 4, 1985"
Al Lucas,1949,1949,F-G,6’3,195,July 4 1922,Fordham,Al LucasJuly 4 1922
Al Lujack,1947,1947,F,6’3,220,"October 5, 1920",Georgetown,"Al LujackOctober 5, 1920"
Al Masino,1953,1954,G,5’10,174,"February 5, 1928",Canisius,"Al MasinoFebruary 5, 1928"
Al Miksis,1950,1950,C,6’7,210,"February 2, 1928",Western Illinois University,"Al MiksisFebruary 2, 1928"
Al Negratti,1947,1947,F-C,6’3,200,June 12 1921,Seton Hall,Al NegrattiJune 12 1921
Al Roges,1954,1955,G-F,6’4,195,"October 25, 1930",Long Island University,"Al RogesOctober 25, 1930"
Al Salvadori,1968,1968,F,6’9,220,"May 6, 1945",South Carolina,"Al SalvadoriMay 6, 1945"
Al Sanders,1973,1973,F,6’7,240,"January 1, 1950",LSU,"Al SandersJanuary 1, 1950"
Al Skinner,1975,1980,G,6’3,190,June 16 1952,UMass,Al SkinnerJune 16 1952
Al Smith,1972,1976,G,6’1,185,"January 15, 1947",Bradley,"Al SmithJanuary 15, 1947"
Al Thornton,2008,2011,F,6’8,220,"December 7, 1983",Florida State,"Al ThorntonDecember 7, 1983"
Al Tucker,1968,1972,F,6’8,190,"February 24, 1943",Oklahoma Baptist University,"Al TuckerFebruary 24, 1943"
Al Williams,1971,1971,F,6’6,200,"February 3, 1948",Drake University,"Al WilliamsFebruary 3, 1948"
Al Wood,1982,1987,G-F,6’6,193,June 2 1958,UNC,Al WoodJune 2 1958
Alaa Abdelnaby,1991,1995,F-C,6’10,240,June 24 1968,Duke,Alaa AbdelnabyJune 24 1968
Alan Anderson,2006,2017,G-F,6’6,220,"October 16, 1982",Michigan State,"Alan AndersonOctober 16, 1982"
Alan Hardy,1981,1982,F,6’7,195,"May 25, 1957",Michigan,"Alan HardyMay 25, 1957"
